n001.hpc
2021. 12. 23. (목) 19:50:42 KST
Graph is built!
Epoch 0000: Validation ELBO Loss: -174.9530, Validation Recon: 40.4782, Validation Prior: -216.6459, Validation Accuracy: 55.120%
Epoch 0000: Test ELBO Loss: -175.4570, Test Recon: 40.2797, Test Prior: -216.9278, Test Accuracy: 56.880%
Epoch 0001: Validation ELBO Loss: -73.6659, Validation Recon: 41.8804, Validation Prior: -117.3753, Validation Accuracy: 53.140%
Epoch 0001: Test ELBO Loss: -88.2349, Test Recon: 41.5585, Test Prior: -131.5639, Test Accuracy: 54.810%
Epoch 0002: Validation ELBO Loss: -176.3271, Validation Recon: 38.1032, Validation Prior: -214.9646, Validation Accuracy: 83.460%
Epoch 0002: Test ELBO Loss: -182.0751, Test Recon: 37.7791, Test Prior: -220.3715, Test Accuracy: 84.200%
Epoch 0003: Validation ELBO Loss: -238.6368, Validation Recon: 36.1069, Validation Prior: -274.9959, Validation Accuracy: 92.720%
Epoch 0003: Test ELBO Loss: -237.6003, Test Recon: 35.9252, Test Prior: -273.7713, Test Accuracy: 92.860%
Epoch 0004: Validation ELBO Loss: -266.1520, Validation Recon: 32.9704, Validation Prior: -299.2696, Validation Accuracy: 96.180%
Epoch 0004: Test ELBO Loss: -267.4310, Test Recon: 32.8084, Test Prior: -300.3890, Test Accuracy: 95.910%
Epoch 0005: Validation ELBO Loss: -269.4591, Validation Recon: 33.3586, Validation Prior: -303.0420, Validation Accuracy: 93.100%
Epoch 0005: Test ELBO Loss: -270.3864, Test Recon: 33.0844, Test Prior: -303.6856, Test Accuracy: 93.610%
Epoch 0006: Validation ELBO Loss: -273.0636, Validation Recon: 32.7729, Validation Prior: -305.9907, Validation Accuracy: 95.100%
Epoch 0006: Test ELBO Loss: -274.1693, Test Recon: 32.5685, Test Prior: -306.8891, Test Accuracy: 95.440%
Epoch 0007: Validation ELBO Loss: -283.3936, Validation Recon: 33.2047, Validation Prior: -316.6901, Validation Accuracy: 97.680%
Epoch 0007: Test ELBO Loss: -284.7851, Test Recon: 32.8427, Test Prior: -317.7306, Test Accuracy: 97.230%
Epoch 0008: Validation ELBO Loss: -287.2094, Validation Recon: 35.9947, Validation Prior: -323.3578, Validation Accuracy: 96.260%
Epoch 0008: Test ELBO Loss: -287.3753, Test Recon: 35.5179, Test Prior: -323.0532, Test Accuracy: 95.820%
Epoch 0009: Validation ELBO Loss: -298.2257, Validation Recon: 31.2420, Validation Prior: -329.6131, Validation Accuracy: 95.320%
Epoch 0009: Test ELBO Loss: -299.9347, Test Recon: 30.7117, Test Prior: -330.7901, Test Accuracy: 95.530%
Epoch 0010: Validation ELBO Loss: -310.1490, Validation Recon: 30.8302, Validation Prior: -341.0864, Validation Accuracy: 97.340%
Epoch 0010: Test ELBO Loss: -311.2819, Test Recon: 30.3969, Test Prior: -341.7967, Test Accuracy: 96.740%
Epoch 0011: Validation ELBO Loss: -302.3043, Validation Recon: 33.2197, Validation Prior: -335.6577, Validation Accuracy: 95.960%
Epoch 0011: Test ELBO Loss: -301.3899, Test Recon: 32.6318, Test Prior: -334.1510, Test Accuracy: 96.220%
Epoch 0012: Validation ELBO Loss: -313.5070, Validation Recon: 32.5612, Validation Prior: -346.1658, Validation Accuracy: 97.400%
Epoch 0012: Test ELBO Loss: -312.7740, Test Recon: 32.4361, Test Prior: -345.3210, Test Accuracy: 96.770%
Epoch 0013: Validation ELBO Loss: -324.0116, Validation Recon: 32.5477, Validation Prior: -356.6559, Validation Accuracy: 97.360%
Epoch 0013: Test ELBO Loss: -324.9109, Test Recon: 31.8929, Test Prior: -356.9064, Test Accuracy: 97.220%
Epoch 0014: Validation ELBO Loss: -325.9982, Validation Recon: 29.8974, Validation Prior: -355.9898, Validation Accuracy: 97.560%
Epoch 0014: Test ELBO Loss: -328.1007, Test Recon: 29.2876, Test Prior: -357.4904, Test Accuracy: 97.030%
Epoch 0015: Validation ELBO Loss: -328.3377, Validation Recon: 31.0299, Validation Prior: -359.4442, Validation Accuracy: 97.940%
Epoch 0015: Test ELBO Loss: -329.6154, Test Recon: 30.4655, Test Prior: -360.1693, Test Accuracy: 97.490%
Epoch 0016: Validation ELBO Loss: -334.6053, Validation Recon: 29.9558, Validation Prior: -364.6488, Validation Accuracy: 97.680%
Epoch 0016: Test ELBO Loss: -336.0659, Test Recon: 29.3976, Test Prior: -365.5650, Test Accuracy: 97.120%
Epoch 0017: Validation ELBO Loss: -326.3732, Validation Recon: 30.7767, Validation Prior: -357.2183, Validation Accuracy: 97.960%
Epoch 0017: Test ELBO Loss: -328.0066, Test Recon: 30.2063, Test Prior: -358.2944, Test Accuracy: 97.670%
Epoch 0018: Validation ELBO Loss: -335.6134, Validation Recon: 30.9569, Validation Prior: -366.6591, Validation Accuracy: 97.500%
Epoch 0018: Test ELBO Loss: -336.7844, Test Recon: 30.4536, Test Prior: -367.3409, Test Accuracy: 97.030%
Epoch 0019: Validation ELBO Loss: -338.9665, Validation Recon: 31.3606, Validation Prior: -370.4182, Validation Accuracy: 97.320%
Epoch 0019: Test ELBO Loss: -339.3651, Test Recon: 30.8735, Test Prior: -370.3370, Test Accuracy: 97.220%
Epoch 0020: Validation ELBO Loss: -343.2149, Validation Recon: 29.2510, Validation Prior: -372.5425, Validation Accuracy: 97.960%
Epoch 0020: Test ELBO Loss: -343.9993, Test Recon: 28.8495, Test Prior: -372.9382, Test Accuracy: 97.460%
Epoch 0021: Validation ELBO Loss: -344.9691, Validation Recon: 27.7562, Validation Prior: -372.7935, Validation Accuracy: 98.160%
Epoch 0021: Test ELBO Loss: -346.1892, Test Recon: 27.2129, Test Prior: -373.4871, Test Accuracy: 97.620%
Epoch 0022: Validation ELBO Loss: -346.4499, Validation Recon: 27.5502, Validation Prior: -374.0697, Validation Accuracy: 97.960%
Epoch 0022: Test ELBO Loss: -347.1738, Test Recon: 27.1434, Test Prior: -374.4008, Test Accuracy: 97.690%
Epoch 0023: Validation ELBO Loss: -348.8629, Validation Recon: 26.6142, Validation Prior: -375.5252, Validation Accuracy: 98.580%
Epoch 0023: Test ELBO Loss: -350.1321, Test Recon: 26.1105, Test Prior: -376.3052, Test Accuracy: 98.250%
Epoch 0024: Validation ELBO Loss: -348.9545, Validation Recon: 28.5888, Validation Prior: -377.6035, Validation Accuracy: 98.300%
Epoch 0024: Test ELBO Loss: -350.0105, Test Recon: 28.0286, Test Prior: -378.1110, Test Accuracy: 97.950%
Epoch 0025: Validation ELBO Loss: -354.0561, Validation Recon: 26.7184, Validation Prior: -380.8398, Validation Accuracy: 98.340%
Epoch 0025: Test ELBO Loss: -354.9967, Test Recon: 26.4188, Test Prior: -381.4943, Test Accuracy: 97.860%
Epoch 0026: Validation ELBO Loss: -358.5463, Validation Recon: 25.9618, Validation Prior: -384.5742, Validation Accuracy: 98.140%
Epoch 0026: Test ELBO Loss: -359.9331, Test Recon: 25.6749, Test Prior: -385.6891, Test Accuracy: 97.690%
Epoch 0027: Validation ELBO Loss: -358.1634, Validation Recon: 28.3617, Validation Prior: -386.5892, Validation Accuracy: 98.260%
Epoch 0027: Test ELBO Loss: -358.6885, Test Recon: 28.1668, Test Prior: -386.9369, Test Accuracy: 97.820%
Epoch 0028: Validation ELBO Loss: -351.6386, Validation Recon: 26.0179, Validation Prior: -377.7166, Validation Accuracy: 98.180%
